                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 1.5911,                 2.7678,                  1.187,                 1.3126,                0.54891,                0.52804,                0.50239,                 0.2835,                0.51317,                0.48255,                0.44851,                0.21192,                 1.6618,                 2.9115,                 1.1756,                 1.3962,               0.007129,               0.007129,               0.007129
                     60,                 1.5981,                 2.7705,                 1.1896,                 1.3136,                0.55033,                0.52741,                0.50316,                0.28407,                0.51563,                0.47922,                0.44835,                0.21197,                  1.662,                 2.9116,                 1.1751,                 1.3959,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.5914,                 2.7644,                 1.1877,                 1.3122,                 0.5517,                0.52826,                0.50378,                 0.2847,                0.51522,                0.47955,                0.44946,                0.21313,                 1.6617,                  2.911,                 1.1746,                 1.3957,                0.00703,                0.00703,                0.00703
                     62,                   1.59,                 2.7651,                 1.1896,                 1.3112,                0.55139,                0.52961,                0.50388,                0.28366,                0.51445,                 0.4827,                0.44824,                0.21217,                 1.6615,                 2.9114,                 1.1743,                 1.3953,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.5897,                 2.7651,                 1.1887,                 1.3115,                0.55606,                0.52741,                0.50446,                0.28443,                0.51278,                0.48388,                0.44949,                 0.2129,                 1.6614,                 2.9119,                 1.1737,                  1.395,               0.006931,               0.006931,               0.006931
                     64,                 1.5873,                 2.7584,                 1.1794,                 1.3093,                 0.5489,                0.53007,                 0.5038,                0.28367,                0.50922,                0.48501,                0.44842,                0.21256,                  1.661,                 2.9125,                 1.1737,                 1.3947,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.5886,                 2.7526,                 1.1766,                  1.309,                0.54868,                0.53124,                0.50541,                0.28489,                0.51064,                0.48565,                0.44952,                0.21327,                 1.6608,                 2.9123,                 1.1736,                 1.3943,               0.006832,               0.006832,               0.006832
                     66,                 1.5813,                 2.7469,                 1.1687,                 1.3031,                 0.5464,                0.53152,                0.50387,                0.28467,                 0.5065,                0.48436,                0.44809,                0.21291,                 1.6611,                 2.9123,                 1.1736,                 1.3943,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.5869,                 2.7578,                 1.1776,                 1.3103,                0.54807,                0.52998,                0.50395,                0.28454,                0.50916,                0.48393,                0.44821,                0.21281,                 1.6611,                 2.9122,                 1.1731,                 1.3943,               0.006733,               0.006733,               0.006733
                     68,                 1.5789,                 2.7514,                 1.1727,                 1.3048,                0.54853,                0.53067,                 0.5044,                 0.2849,                0.51301,                0.48177,                0.44858,                0.21292,                  1.661,                 2.9124,                 1.1727,                 1.3944,              0.0066835,              0.0066835,              0.0066835
